Titre,lien_wikipedia,annee,url_imdb,url_allocine
La Brigade,"https://fr.wikipedia.org/wiki/La_Brigade_(film,_2022)",2022,https://www.imdb.com/title/t14280366,https://www.allocine.fr/film/fichefilm_gen_cfilm=287057.html
Seule la terre est éternelle,"https://fr.wikipedia.org/w/index.php?title=Seule_la_terre_est_%C3%A9ternelle_(film,_2022)&action=edit&redlink=1",2022,NA,NA
En nous,https://fr.wikipedia.org/wiki/En_nous,2022,https://www.imdb.com/title/t16239932,https://www.allocine.fr/film/fichefilm_gen_cfilm=282251.html
Vedette,"https://fr.wikipedia.org/wiki/Vedette_(film,_2021)",2022,https://www.imdb.com/title/t15067158,https://www.allocine.fr/film/fichefilm_gen_cfilm=293465.html
Retour à Reims (Fragments),https://fr.wikipedia.org/wiki/Retour_%C3%A0_Reims_(Fragments),2022,https://www.imdb.com/title/t14812786,https://www.allocine.fr/film/fichefilm_gen_cfilm=293084.html
Que m'est-il permis d'espérer,https://fr.wikipedia.org/w/index.php?title=Que_m%27est-il_permis_d%27esp%C3%A9rer&action=edit&redlink=1,2022,NA,NA
Le Tour d'un monde,https://fr.wikipedia.org/w/index.php?title=Le_Tour_d%27un_monde&action=edit&redlink=1,2022,NA,NA
Snow (Neige),https://fr.wikipedia.org/w/index.php?title=Snow_(Neige)&action=edit&redlink=1,2022,NA,NA
Qu'est-ce qu'on a tous fait au Bon Dieu ?,https://fr.wikipedia.org/wiki/Qu%27est-ce_qu%27on_a_tous_fait_au_Bon_Dieu_%3F,2022,https://www.imdb.com/title/t10405142,https://www.allocine.fr/film/fichefilm_gen_cfilm=274484.html
En même temps,https://fr.wikipedia.org/wiki/En_m%C3%AAme_temps_(film),2022,https://www.imdb.com/title/t16491386,https://www.allocine.fr/film/fichefilm_gen_cfilm=297305.html
La Nuit aux amants,"https://fr.wikipedia.org/w/index.php?title=La_Nuit_aux_amants_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Les Gagnants,https://fr.wikipedia.org/wiki/Les_Gagnants_(film),2022,https://www.imdb.com/title/t17058536,https://www.allocine.fr/film/fichefilm_gen_cfilm=297021.html
Le Stade,https://fr.wikipedia.org/w/index.php?title=Le_Stade_(film)&action=edit&redlink=1,2022,NA,NA
Allons enfants,"https://fr.wikipedia.org/wiki/Allons_enfants_(film,_2022)",2022,https://www.imdb.com/title/t17157266,https://www.allocine.fr/film/fichefilm_gen_cfilm=296083.html
La Fraude,"https://fr.wikipedia.org/w/index.php?title=La_Fraude_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Les SEGPA,https://fr.wikipedia.org/wiki/Les_SEGPA,2022,https://www.imdb.com/title/t19733052,https://www.allocine.fr/film/fichefilm_gen_cfilm=293378.html
I Comete,https://fr.wikipedia.org/wiki/I_Comete,2022,https://www.imdb.com/title/t12826450,https://www.allocine.fr/film/fichefilm_gen_cfilm=280134.html
Les Sans-dents,https://fr.wikipedia.org/wiki/Les_Sans-dents,2022,https://www.imdb.com/title/t10547442,https://www.allocine.fr/film/fichefilm_gen_cfilm=276865.html
Le Médecin imaginaire,https://fr.wikipedia.org/wiki/Le_M%C3%A9decin_imaginaire_(film),2022,https://www.imdb.com/title/t14550172,https://www.allocine.fr/film/fichefilm_gen_cfilm=280917.html
Années 20,https://fr.wikipedia.org/wiki/Ann%C3%A9es_20_(film),2022,https://www.imdb.com/title/t13272544,NA
Envol,https://fr.wikipedia.org/wiki/Envol_(film),2022,https://www.imdb.com/title/t13335652,https://www.allocine.fr/film/fichefilm_gen_cfilm=281812.html
Ghost Song,https://fr.wikipedia.org/wiki/Ghost_Song_(film),2022,https://www.imdb.com/title/t15023058,https://www.allocine.fr/film/fichefilm_gen_cfilm=293463.html
Le Pied nickelé,https://fr.wikipedia.org/w/index.php?title=Le_Pied_nickel%C3%A9_(film)&action=edit&redlink=1,2022,NA,NA
Volodarka,https://fr.wikipedia.org/w/index.php?title=Volodarka_(film)&action=edit&redlink=1,2022,NA,NA
Pas... de quartier,https://fr.wikipedia.org/wiki/Pas..._de_quartier,2022,https://www.imdb.com/title/t18291508,NA
Ténor,https://fr.wikipedia.org/wiki/T%C3%A9nor_(film),2022,https://www.imdb.com/title/t15740736,https://www.allocine.fr/film/fichefilm_gen_cfilm=293272.html
Petite Leçon d'amour,https://fr.wikipedia.org/wiki/Petite_Le%C3%A7on_d%27amour,2022,https://www.imdb.com/title/t15532248,https://www.allocine.fr/film/fichefilm_gen_cfilm=279697.html
L'Eté l'éternité,https://fr.wikipedia.org/w/index.php?title=L%27Et%C3%A9_l%27%C3%A9ternit%C3%A9&action=edit&redlink=1,2022,NA,NA
Laissons les morts engloutir les morts,https://fr.wikipedia.org/w/index.php?title=Laissons_les_morts_engloutir_les_morts&action=edit&redlink=1,2022,NA,NA
Tranchées,https://fr.wikipedia.org/wiki/Tranch%C3%A9es_(film),2022,https://www.imdb.com/title/t14072162,NA
Lettre à l'enfant que tu nous as donné,https://fr.wikipedia.org/w/index.php?title=Lettre_%C3%A0_l%27enfant_que_tu_nous_as_donn%C3%A9&action=edit&redlink=1,2022,NA,NA
Les Folies fermières,https://fr.wikipedia.org/wiki/Les_Folies_fermi%C3%A8res,2022,https://www.imdb.com/title/t14793714,https://www.allocine.fr/film/fichefilm_gen_cfilm=288925.html
On sourit pour la photo,https://fr.wikipedia.org/wiki/On_sourit_pour_la_photo,2022,https://www.imdb.com/title/t17049104,https://www.allocine.fr/film/fichefilm_gen_cfilm=284745.html
Loin du périph,https://fr.wikipedia.org/wiki/Loin_du_p%C3%A9riph,2022,https://www.imdb.com/title/t13822738,https://www.allocine.fr/film/fichefilm_gen_cfilm=289478.html
Van Gogh In Love,https://fr.wikipedia.org/wiki/Van_Gogh_In_Love,2022,https://www.imdb.com/title/tt9053344,https://www.allocine.fr/film/fichefilm_gen_cfilm=290952.html
J'adore ce que vous faites,https://fr.wikipedia.org/wiki/J%27adore_ce_que_vous_faites,2022,https://www.imdb.com/title/t13134894,https://www.allocine.fr/film/fichefilm_gen_cfilm=286044.html
Hommes au bord de la crise de nerfs,https://fr.wikipedia.org/wiki/Hommes_au_bord_de_la_crise_de_nerfs,2022,https://www.imdb.com/title/t10945232,https://www.allocine.fr/film/fichefilm_gen_cfilm=276716.html
Birds of America,"https://fr.wikipedia.org/wiki/Birds_of_America_(film,_2022)",2022,https://www.imdb.com/title/t14686256,https://www.allocine.fr/film/fichefilm_gen_cfilm=285620.html
Ça tourne à Saint-Pierre-et-Miquelon,https://fr.wikipedia.org/wiki/%C3%87a_tourne_%C3%A0_Saint-Pierre-et-Miquelon,2022,https://www.imdb.com/title/t13322796,https://www.allocine.fr/film/fichefilm_gen_cfilm=280126.html
Municipale,https://fr.wikipedia.org/wiki/Municipale_(film),2022,NA,NA
Dessine-moi une planète,https://fr.wikipedia.org/wiki/Dessine-moi_une_plan%C3%A8te,2022,https://www.imdb.com/title/t21630186,NA
10 jours encore sans maman,https://fr.wikipedia.org/wiki/10_jours_encore_sans_maman,2023,https://www.imdb.com/title/t16983432,https://www.allocine.fr/film/fichefilm_gen_cfilm=298509.html
À la belle étoile,"https://fr.wikipedia.org/wiki/%C3%80_la_belle_%C3%A9toile_(film,_2023)",2023,https://www.imdb.com/title/t19815386,https://www.allocine.fr/film/fichefilm_gen_cfilm=291293.html
L'Abbé Pierre,https://fr.wikipedia.org/wiki/L%27Abb%C3%A9_Pierre_(film),2023,https://www.imdb.com/title/t15789074,https://www.allocine.fr/film/fichefilm_gen_cfilm=280829.html
Alibi.com 2,https://fr.wikipedia.org/wiki/Alibi.com_2,2023,https://www.imdb.com/title/t20424172,https://www.allocine.fr/film/fichefilm_gen_cfilm=281261.html
Anatomie d'une chute,https://fr.wikipedia.org/wiki/Anatomie_d%27une_chute,2023,https://www.imdb.com/title/t17009710,https://www.allocine.fr/film/fichefilm_gen_cfilm=297303.html
Apaches,"https://fr.wikipedia.org/wiki/Apaches_(film,_2023)",2023,https://www.imdb.com/title/t13823990,https://www.allocine.fr/film/fichefilm_gen_cfilm=295614.html
Arrête avec tes mensonges,https://fr.wikipedia.org/wiki/Arr%C3%AAte_avec_tes_mensonges_(film),2023,https://www.imdb.com/title/t18626656,https://www.allocine.fr/film/fichefilm_gen_cfilm=258503.html
Astérix et Obélix : l'Empire du Milieu,https://fr.wikipedia.org/wiki/Ast%C3%A9rix_et_Ob%C3%A9lix_:_l%27Empire_du_Milieu,2023,https://www.imdb.com/title/t11210390,https://www.allocine.fr/film/fichefilm_gen_cfilm=260600.html
Banlieusards 2,https://fr.wikipedia.org/wiki/Banlieusards_2,2023,https://www.imdb.com/title/t27045321,NA
Bâtiment 5,https://fr.wikipedia.org/wiki/B%C3%A2timent_5,2023,https://www.imdb.com/title/t26255476,https://www.allocine.fr/film/fichefilm_gen_cfilm=297805.html
Bernadette,"https://fr.wikipedia.org/wiki/Bernadette_(film,_2023)",2023,https://www.imdb.com/title/t19858184,https://www.allocine.fr/film/fichefilm_gen_cfilm=301061.html
Chasse gardée,"https://fr.wikipedia.org/wiki/Chasse_gard%C3%A9e_(film,_2023)",2023,https://www.imdb.com/title/tt9115752,https://www.allocine.fr/film/fichefilm_gen_cfilm=308055.html
Des mains en or,"https://fr.wikipedia.org/wiki/Des_mains_en_or_(film,_2023)",2023,https://www.imdb.com/title/t21071746,https://www.allocine.fr/film/fichefilm_gen_cfilm=304344.html
L'Établi,https://fr.wikipedia.org/wiki/L%27%C3%89tabli_(film),2023,https://www.imdb.com/title/t14163992,https://www.allocine.fr/film/fichefilm_gen_cfilm=281834.html
Flo,https://fr.wikipedia.org/wiki/Flo_(film),2023,https://www.imdb.com/title/t21967274,https://www.allocine.fr/film/fichefilm_gen_cfilm=306542.html
